date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-03-16,Indian Wells Masters,F,Holger,Rune,Jack,Draper,ATP,20250316-M-Indian_Wells_Masters-F-Holger_Rune-Jack_Draper.html
2025-03-15,Indian Wells Masters,SF,Jack,Draper,Carlos,Alcaraz,ATP,20250315-M-Indian_Wells_Masters-SF-Jack_Draper-Carlos_Alcaraz.html
2025-03-13,Indian Wells Masters,QF,Carlos,Alcaraz,Francisco,Cerundolo,ATP,20250313-M-Indian_Wells_Masters-QF-Carlos_Alcaraz-Francisco_Cerundolo.html
2025-03-13,Indian Wells Masters,QF,Arthur,Fils,Daniil,Medvedev,ATP,20250313-M-Indian_Wells_Masters-QF-Arthur_Fils-Daniil_Medvedev.html
2025-03-12,Indian Wells Masters,R16,Taylor,Fritz,Jack,Draper,ATP,20250312-M-Indian_Wells_Masters-R16-Taylor_Fritz-Jack_Draper.html
2025-03-12,Indian Wells Masters,R16,Grigor,Dimitrov,Carlos,Alcaraz,ATP,20250312-M-Indian_Wells_Masters-R16-Grigor_Dimitrov-Carlos_Alcaraz.html
2025-03-11,Indian Wells Masters,R16,Yosuke,Watanuki,Tallon,Griekspoor,ATP,20250311-M-Indian_Wells_Masters-R16-Yosuke_Watanuki-Tallon_Griekspoor.html
2025-03-11,Indian Wells Masters,R16,Stefanos,Tsitsipas,Holger,Rune,ATP,20250311-M-Indian_Wells_Masters-R16-Stefanos_Tsitsipas-Holger_Rune.html
2025-03-10,Indian Wells Masters,R32,Hubert,Hurkacz,Alex De,Minaur,ATP,20250310-M-Indian_Wells_Masters-R32-Hubert_Hurkacz-Alex_De_Minaur.html
2025-03-10,Indian Wells Masters,R32,Francisco,Cerundolo,Botic Van De,Zandschulp,ATP,20250310-M-Indian_Wells_Masters-R32-Francisco_Cerundolo-Botic_Van_De_Zandschulp.html
2025-03-10,Indian Wells Masters,R32,Denis,Shapovalov,Carlos,Alcaraz,ATP,20250310-M-Indian_Wells_Masters-R32-Denis_Shapovalov-Carlos_Alcaraz.html
2025-03-09,Indian Wells Masters,R32,Yosuke,Watanuki,Frances,Tiafoe,ATP,20250309-M-Indian_Wells_Masters-R32-Yosuke_Watanuki-Frances_Tiafoe.html
2025-03-09,Indian Wells Masters,R32,Giovanni Mpetshi,Perricard,Tallon,Griekspoor,ATP,20250309-M-Indian_Wells_Masters-R32-Giovanni_Mpetshi_Perricard-Tallon_Griekspoor.html
2025-03-09,Indian Wells Masters,R32,Arthur,Fils,Lorenzo,Musetti,ATP,20250309-M-Indian_Wells_Masters-R32-Arthur_Fils-Lorenzo_Musetti.html
2025-03-08,Indian Wells Masters,R64,Quentin,Halys,Carlos,Alcaraz,ATP,20250308-M-Indian_Wells_Masters-R64-Quentin_Halys-Carlos_Alcaraz.html
2025-03-08,Indian Wells Masters,R64,Novak,Djokovic,Botic Van De,Zandschulp,ATP,20250308-M-Indian_Wells_Masters-R64-Novak_Djokovic-Botic_Van_De_Zandschulp.html
2025-03-08,Indian Wells Masters,R64,Hubert,Hurkacz,Hugo,Gaston,ATP,20250308-M-Indian_Wells_Masters-R64-Hubert_Hurkacz-Hugo_Gaston.html
2025-03-07,Indian Wells Masters,R64,Tallon,Griekspoor,Alexander,Zverev,ATP,20250307-M-Indian_Wells_Masters-R64-Tallon_Griekspoor-Alexander_Zverev.html
2025-03-07,Indian Wells Masters,R64,Stefanos,Tsitsipas,Thiago Seyboth,Wild,ATP,20250307-M-Indian_Wells_Masters-R64-Stefanos_Tsitsipas-Thiago_Seyboth_Wild.html
2025-03-06,Indian Wells Masters,R128,Nick,Kyrgios,Botic Van De,Zandschulp,ATP,20250306-M-Indian_Wells_Masters-R128-Nick_Kyrgios-Botic_Van_De_Zandschulp.html
2025-03-05,Indian Wells Masters,R128,Tallon,Griekspoor,Miomir,Kecmanovic,ATP,20250305-M-Indian_Wells_Masters-R128-Tallon_Griekspoor-Miomir_Kecmanovic.html
2025-03-16,Indian Wells,F,Aryna,Sabalenka,Mirra,Andreeva,WTA,20250316-W-Indian_Wells-F-Aryna_Sabalenka-Mirra_Andreeva.html
2025-03-14,Indian Wells,SF,Iga,Swiatek,Mirra,Andreeva,WTA,20250314-W-Indian_Wells-SF-Iga_Swiatek-Mirra_Andreeva.html
2025-03-14,Indian Wells,SF,Aryna,Sabalenka,Madison,Keys,WTA,20250314-W-Indian_Wells-SF-Aryna_Sabalenka-Madison_Keys.html
2025-03-13,Indian Wells,QF,Iga,Swiatek,Qinwen,Zheng,WTA,20250313-W-Indian_Wells-QF-Iga_Swiatek-Qinwen_Zheng.html
2025-03-13,Indian Wells,QF,Elina,Svitolina,Mirra,Andreeva,WTA,20250313-W-Indian_Wells-QF-Elina_Svitolina-Mirra_Andreeva.html
2025-03-13,Indian Wells,QF,Belinda,Bencic,Madison,Keys,WTA,20250313-W-Indian_Wells-QF-Belinda_Bencic-Madison_Keys.html
